기준연월,사용본거지시읍면동_행정동기준,차명,연료,최초등록일,현소유자의출생년도
2015-12,서울특별시 영등포구 영등포동,캠리,하이브리드(휘발유+전기),2006-11-22,
2015-12,서울특별시 영등포구 영등포동,쏘나타(SONATA) 하이브리드,하이브리드(휘발유+전기),2013-08-30,1974
2015-12,서울특별시 영등포구 영등포동,토요타 PRIUS,하이브리드(휘발유+전기),2015-09-16,1981
2015-12,서울특별시 영등포구 영등포동,쏘나타 (SONATA) 하이브리드,하이브리드(휘발유+전기),2012-02-27,1958
2015-12,서울특별시 영등포구 영등포본동,K5 하이브리드,하이브리드(휘발유+전기),2013-10-29,1985
2015-12,서울특별시 영등포구 영등포본동,K5 하이브리드,하이브리드(휘발유+전기),2012-07-11,1968
2015-12,서울특별시 영등포구 영등포본동,그랜저 하이브리드 (GRANDEUR ,하이브리드(휘발유+전기),2015-11-30,1962
2015-12,서울특별시 용산구 남영동,레이 전기차,전기,2015-06-04,
2015-12,서울특별시 관악구 신림동,K5 하이브리드,하이브리드(휘발유+전기),2012-05-02,1969
2015-12,서울특별시 관악구 신사동,그랜저(GRANDEUR) 하이브리드,하이브리드(휘발유+전기),2014-03-28,1966
2015-12,서울특별시 관악구 신사동,쏘나타(SONATA) 하이브리드,하이브리드(휘발유+전기),2013-06-07,1954
2015-12,서울특별시 관악구 신사동,K5 하이브리드,하이브리드(휘발유+전기),2014-04-01,1977
2015-12,서울특별시 관악구 신원동,아반떼 하이브리드(AVANTE HYB,하이브리드(LPG+전기),2009-12-22,1967
2015-12,서울특별시 관악구 신원동,쏘나타(SONATA) 하이브리드,하이브리드(휘발유+전기),2013-01-25,1986
2015-12,서울특별시 관악구 은천동,쏘나타 하이브리드(SONATA HYB,하이브리드(휘발유+전기),2015-11-11,1960
2015-12,서울특별시 관악구 은천동,쏘나타(SONATA) 하이브리드,하이브리드(휘발유+전기),2014-06-12,1975
2015-12,서울특별시 관악구 은천동,아반떼 하이브리드(AVANTE HYB,하이브리드(LPG+전기),2010-03-12,1969
2015-12,서울특별시 관악구 은천동,K5 하이브리드,하이브리드(휘발유+전기),2013-04-18,1972
2015-12,서울특별시 관악구 은천동,K5 하이브리드,하이브리드(휘발유+전기),2014-03-24,1988
2015-12,서울특별시 관악구 인헌동,렉서스 CT200h,하이브리드(휘발유+전기),2014-09-15,1982
2015-12,서울특별시 관악구 인헌동,아반떼 하이브리드(AVANTE HYB,하이브리드(LPG+전기),2010-02-26,1984
2015-12,서울특별시 관악구 인헌동,K5 하이브리드,하이브리드(휘발유+전기),2015-10-14,1984
2015-12,서울특별시 관악구 인헌동,그랜저 하이브리드 (GRANDEUR ,하이브리드(휘발유+전기),2015-05-26,1940
2015-12,서울특별시 관악구 조원동,쏘나타 (SONATA) 하이브리드,하이브리드(휘발유+전기),2013-02-14,1969
2015-12,서울특별시 관악구 조원동,아반떼 하이브리드(AVANTE HYB,하이브리드(LPG+전기),2009-08-06,1968
2015-12,서울특별시 송파구 위례동,아반떼 하이브리드(AVANTE HYB,하이브리드(LPG+전기),2010-09-17,1969
2015-12,서울특별시 송파구 잠실2동,토요타 PRIUS,하이브리드(휘발유+전기),2014-08-19,1984
2015-12,서울특별시 송파구 잠실2동,렉서스 ES300h,하이브리드(휘발유+전기),2014-06-30,1974
2015-12,서울특별시 송파구 잠실2동,쏘나타 하이브리드(SONATA HYB,하이브리드(휘발유+전기),2015-07-20,1975
2015-12,서울특별시 송파구 잠실2동,토요타 CAMRY Hybrid,하이브리드(휘발유+전기),2012-05-15,1966
2015-12,서울특별시 송파구 잠실2동,토요타 PRIUS,하이브리드(휘발유+전기),2010-05-31,1973
2015-12,서울특별시 송파구 잠실2동,그랜저(GRANDEUR) 하이브리드,하이브리드(휘발유+전기),2014-01-10,1953
2015-12,서울특별시 송파구 잠실2동,토요타 PRIUS,하이브리드(휘발유+전기),2012-03-07,1985
2015-12,서울특별시 송파구 잠실2동,K5 하이브리드,하이브리드(휘발유+전기),2013-12-10,1968
2015-12,서울특별시 송파구 잠실2동,OPTIMA hybrid,하이브리드(휘발유+전기),2014-06-13,1971
2015-12,서울특별시 송파구 잠실2동,쏘나타(SONATA) 하이브리드,하이브리드(휘발유+전기),2014-04-03,1972
2015-12,서울특별시 송파구 잠실2동,토요타 CAMRY Hybrid,하이브리드(휘발유+전기),2012-01-26,1950
2015-12,서울특별시 송파구 잠실2동,렉서스 GS450h,하이브리드(휘발유+전기),2008-10-22,1969
2015-12,서울특별시 송파구 잠실3동,쏘나타 (SONATA) 하이브리드,하이브리드(휘발유+전기),2011-12-12,1968
2015-12,서울특별시 송파구 잠실3동,쏘나타 (SONATA) 하이브리드,하이브리드(휘발유+전기),2012-05-04,1986
2015-12,서울특별시 송파구 잠실3동,렉서스 RX450h,하이브리드(휘발유+전기),2012-05-04,1954
2015-12,서울특별시 송파구 잠실3동,렉서스 ES300h,하이브리드(휘발유+전기),2013-12-31,1948
2015-12,서울특별시 송파구 잠실3동,쏘나타 하이브리드(SONATA HYB,하이브리드(휘발유+전기),2015-02-27,1979
2015-12,서울특별시 영등포구 영등포본동,K5 하이브리드,하이브리드(휘발유+전기),2012-07-20,1981
2015-12,서울특별시 용산구 남영동,쏘나타 (SONATA) 하이브리드,하이브리드(휘발유+전기),2012-10-05,1985
